Location,Address,Lat,Long,Thursday,Friday,Saturday,Sunday,Notes
House,3655 Wood Valley Road Sonoma CA,38.28690913,-122.412071,1,1,1,1,"Gate : 9999
Door : 887027"
Chimney Rock,5350 Silverado Trail Napa CA,38.39043458,-122.3136773,1,,,,10:00 AM
St Helena Bistro,1146 Main St St Helena CA,38.50390814,-122.4675412,1,,,,12:00 PM
Nickel & Nickel,8164 St Helena Hwy Oakville CA,38.44285353,-122.4057267,1,,,,2:00 PM
Charter Oak,1050 Charter Oak Ave St Helena CA,38.5017183,-122.4640391,1,,,,6:30 PM
Strala Vinyards,3111 St Helena Hwy N. St. Helena CA,38.52762805,-122.5009949,,1,,,10:15 AM
Fortunati Estate,980-986 Salvador Ave Napa CA,38.34760871,-122.3076654,,1,,,12:00 PM
Ilsley,6275 Silverado Trail Napa CA,38.42061245,-122.3373506,,1,,,1:30 PM
Boon Fly Cafe,4048 Sonoma Hwy Napa CA,38.25831756,-122.3336579,,,1,,Breakfast
Matthiasson,3175 Dry Creek Rd Napa CA,38.33852465,-122.3507898,,,1,,1:00 PM
Clos du Val,5330 Silverado Trail Napa CA,38.38713222,-122.312644,,,1,,3:00 PM
Wit and Wisdom,1325 Broadway Sonoma CA,38.27716231,-122.4610453,,,1,,6:30 PM
